"","season","schl","result","games"
"579",2014,"Kansas State","L",17
"580",2014,"Kansas State","W",15
"581",2014,"Kent State","L",12
"582",2014,"Kent State","W",23
"583",2014,"Loyola (IL)","L",13
"584",2014,"Loyola (IL)","W",24
"585",2014,"Memphis","L",14
"586",2014,"Memphis","W",18
"587",2014,"Miami (OH)","L",19
"588",2014,"Miami (OH)","W",13
"589",2014,"Michigan","L",16
"590",2014,"Michigan","W",16
"591",2014,"Michigan State","L",12
"592",2014,"Michigan State","W",27
"593",2014,"Milwaukee","L",16
"594",2014,"Milwaukee","W",14
"595",2014,"Minnesota","L",15
"596",2014,"Minnesota","W",18
"597",2014,"Missouri","L",23
"598",2014,"Missouri","W",9
"599",2014,"Missouri State","L",20
"600",2014,"Missouri State","W",11
"601",2014,"Murray State","L",6
"602",2014,"Murray State","W",29
"603",2014,"Nebraska","L",18
"604",2014,"Nebraska","W",13
"605",2014,"North Dakota","L",22
"606",2014,"North Dakota","W",8
"607",2014,"North Dakota State","L",10
"608",2014,"North Dakota State","W",23
"609",2014,"Northern Illinois","L",16
"610",2014,"Northern Illinois","W",14
"611",2014,"Northern Iowa","L",4
"612",2014,"Northern Iowa","W",31
"613",2014,"Northern Kentucky","L",17
"614",2014,"Northern Kentucky","W",13
"615",2014,"Northwestern","L",17
"616",2014,"Northwestern","W",15
"617",2014,"Notre Dame","L",6
"618",2014,"Notre Dame","W",32
"619",2014,"Ohio","L",20
"620",2014,"Ohio","W",10
"621",2014,"Ohio State","L",11
"622",2014,"Ohio State","W",24
"623",2014,"Oklahoma","L",11
"624",2014,"Oklahoma","W",24
"625",2014,"Oklahoma State","L",14
"626",2014,"Oklahoma State","W",18
"627",2014,"Oral Roberts","L",15
"628",2014,"Oral Roberts","W",19
"629",2014,"Pittsburgh","L",15
"630",2014,"Pittsburgh","W",19
"631",2014,"Purdue","L",13
"632",2014,"Purdue","W",21
"633",2014,"Robert Morris","L",15
"634",2014,"Robert Morris","W",20
"635",2014,"South Dakota","L",16
"636",2014,"South Dakota","W",17
"637",2014,"South Dakota State","L",11
"638",2014,"South Dakota State","W",24
"639",2014,"Southern Illinois","L",21
"640",2014,"Southern Illinois","W",12
"641",2014,"Toledo","L",13
"642",2014,"Toledo","W",20
"643",2014,"Tulsa","L",11
"644",2014,"Tulsa","W",23
"645",2014,"Valparaiso","L",6
"646",2014,"Valparaiso","W",28
"647",2014,"Western Michigan","L",14
"648",2014,"Western Michigan","W",20
"649",2014,"Wichita State","L",5
"650",2014,"Wichita State","W",30
"651",2014,"Wisconsin","L",4
"652",2014,"Wisconsin","W",36
"653",2014,"Wright State","L",20
"654",2014,"Wright State","W",11
"655",2014,"Youngstown State","L",21
"656",2014,"Youngstown State","W",11
"657",2015,"Akron","L",9
"658",2015,"Akron","W",26
"659",2015,"Ball State","L",14
"660",2015,"Ball State","W",21
"661",2015,"Belmont","L",12
"662",2015,"Belmont","W",20
"663",2015,"Bowling Green State","L",18
"664",2015,"Bowling Green State","W",16
"665",2015,"Bradley","L",27
"666",2015,"Bradley","W",5
"667",2015,"Buffalo","L",15
"668",2015,"Buffalo","W",20
"669",2015,"Butler","L",11
"670",2015,"Butler","W",22
"671",2015,"Central Michigan","L",16
"672",2015,"Central Michigan","W",17
"673",2015,"Chicago State","L",28
"674",2015,"Chicago State","W",4
"675",2015,"Cincinnati","L",11
"676",2015,"Cincinnati","W",22
"677",2015,"Cleveland State","L",23
"678",2015,"Cleveland State","W",9
"679",2015,"Creighton","L",15
"680",2015,"Creighton","W",20
"681",2015,"Denver","L",15
"682",2015,"Denver","W",16
"683",2015,"Detroit Mercy","L",15
"684",2015,"Detroit Mercy","W",16
"685",2015,"Drake","L",24
"686",2015,"Drake","W",7
"687",2015,"Eastern Michigan","L",15
"688",2015,"Eastern Michigan","W",18
"689",2015,"Evansville","L",9
"690",2015,"Evansville","W",25
"691",2015,"Green Bay","L",13
"692",2015,"Green Bay","W",23
"693",2015,"Illinois","L",19
"694",2015,"Illinois","W",15
"695",2015,"Illinois-Chicago","L",25
"696",2015,"Illinois-Chicago","W",5
"697",2015,"Illinois State","L",14
"698",2015,"Illinois State","W",18
"699",2015,"Indiana","L",8
"700",2015,"Indiana","W",27
"701",2015,"Indiana State","L",17
"702",2015,"Indiana State","W",15
"703",2015,"Iowa","L",11
"704",2015,"Iowa","W",22
"705",2015,"Iowa State","L",12
"706",2015,"Iowa State","W",23
"707",2015,"IUPUI","L",19
"708",2015,"IUPUI","W",13
"709",2015,"Kansas","L",5
"710",2015,"Kansas","W",33
"711",2015,"Kansas State","L",16
"712",2015,"Kansas State","W",17
"713",2015,"Kent State","L",13
"714",2015,"Kent State","W",19
"715",2015,"Loyola (IL)","L",17
"716",2015,"Loyola (IL)","W",15
"717",2015,"Memphis","L",15
"718",2015,"Memphis","W",19
"719",2015,"Miami (OH)","L",20
"720",2015,"Miami (OH)","W",13
"721",2015,"Michigan","L",13
"722",2015,"Michigan","W",23
"723",2015,"Michigan State","L",6
"724",2015,"Michigan State","W",29
"725",2015,"Milwaukee","L",13
"726",2015,"Milwaukee","W",20
"727",2015,"Minnesota","L",23
"728",2015,"Minnesota","W",8
"729",2015,"Missouri","L",21
"730",2015,"Missouri","W",10
"731",2015,"Missouri State","L",19
"732",2015,"Missouri State","W",13
"733",2015,"Murray State","L",14
"734",2015,"Murray State","W",17
"735",2015,"Nebraska","L",18
"736",2015,"Nebraska","W",16
"737",2015,"North Dakota","L",16
"738",2015,"North Dakota","W",17
"739",2015,"North Dakota State","L",13
"740",2015,"North Dakota State","W",20
"741",2015,"Northern Illinois","L",13
"742",2015,"Northern Illinois","W",21
"743",2015,"Northern Iowa","L",13
"744",2015,"Northern Iowa","W",23
"745",2015,"Northern Kentucky","L",21
"746",2015,"Northern Kentucky","W",9
"747",2015,"Northwestern","L",12
"748",2015,"Northwestern","W",20
"749",2015,"Notre Dame","L",12
"750",2015,"Notre Dame","W",24
"751",2015,"Ohio","L",12
"752",2015,"Ohio","W",23
"753",2015,"Ohio State","L",14
"754",2015,"Ohio State","W",21
"755",2015,"Oklahoma","L",8
"756",2015,"Oklahoma","W",29
"757",2015,"Oklahoma State","L",20
"758",2015,"Oklahoma State","W",12
"759",2015,"Oral Roberts","L",17
"760",2015,"Oral Roberts","W",14
"761",2015,"Pittsburgh","L",12
"762",2015,"Pittsburgh","W",21
"763",2015,"Purdue","L",9
"764",2015,"Purdue","W",26
"765",2015,"Robert Morris","L",22
"766",2015,"Robert Morris","W",10
"767",2015,"South Dakota","L",18
"768",2015,"South Dakota","W",14
"769",2015,"South Dakota State","L",8
"770",2015,"South Dakota State","W",26
"771",2015,"Southern Illinois","L",10
"772",2015,"Southern Illinois","W",22
"773",2015,"Toledo","L",15
"774",2015,"Toledo","W",17
"775",2015,"Tulsa","L",12
"776",2015,"Tulsa","W",20
"777",2015,"Valparaiso","L",7
"778",2015,"Valparaiso","W",30
"779",2015,"Western Michigan","L",19
"780",2015,"Western Michigan","W",13
"781",2015,"Wichita State","L",9
"782",2015,"Wichita State","W",26
"783",2015,"Wisconsin","L",13
"784",2015,"Wisconsin","W",22
"785",2015,"Wright State","L",13
"786",2015,"Wright State","W",22
"787",2015,"Youngstown State","L",21
"788",2015,"Youngstown State","W",11
"789",2016,"Akron","L",9
"790",2016,"Akron","W",27
"791",2016,"Ball State","L",13
"792",2016,"Ball State","W",21
"793",2016,"Belmont","L",7
"794",2016,"Belmont","W",23
"795",2016,"Bowling Green State","L",19
"796",2016,"Bowling Green State","W",13
"797",2016,"Bradley","L",20
"798",2016,"Bradley","W",13
"799",2016,"Buffalo","L",15
"800",2016,"Buffalo","W",17
"801",2016,"Butler","L",9
"802",2016,"Butler","W",25
"803",2016,"Central Michigan","L",16
"804",2016,"Central Michigan","W",16
"805",2016,"Chicago State","L",26
"806",2016,"Chicago State","W",6
"807",2016,"Cincinnati","L",6
